# r num1 ana1 num2 ana2 num3 ana3
6.25 0.0241413 0.0241307 -0.429442 -0.412623 0.303942 -0.0818175
6.3 0.023145 0.0231374 -0.425194 -0.410427 0.317323 -0.0772047
6.35 0.0221882 0.0221837 -0.420849 -0.408162 0.330308 -0.072552
6.4 0.0212694 0.0212679 -0.41641 -0.405831 0.342881 -0.0678624
6.45 0.0203871 0.0203887 -0.41188 -0.403436 0.35503 -0.0631386
6.5 0.0195399 0.0195447 -0.407263 -0.400981 0.366741 -0.0583834
6.55 0.0187265 0.0187345 -0.402563 -0.398468 0.378003 -0.0535994
6.6 0.0179456 0.0179569 -0.397782 -0.3959 0.388803 -0.0487895
6.65 0.0171959 0.0172105 -0.392924 -0.393279 0.399131 -0.0439561
6.7 0.0164763 0.0164942 -0.387993 -0.390608 0.408976 -0.0391019
6.75 0.0157855 0.0158069 -0.38299 -0.38789 0.418329 -0.0342294
6.8 0.0151225 0.0151473 -0.37792 -0.385127 0.427182 -0.029341
6.85 0.0144862 0.0145145 -0.372785 -0.382321 0.435524 -0.0244392
6.9 0.0138755 0.0139074 -0.367589 -0.379476 0.44335 -0.0195264
6.95 0.0132893 0.013325 -0.362333 -0.376593 0.450652 -0.0146048
7 0.0127269 0.0127663 -0.357021 -0.373674 0.457424 -0.00967673
7.05 0.0121871 0.0122305 -0.351655 -0.370721 0.46366 -0.00474446
7.1 0.0116691 0.0117165 -0.346238 -0.367738 0.469355 0.000189864
7.15 0.0111721 0.0112236 -0.340772 -0.364725 0.474505 0.00512411
7.2 0.0106952 0.0107508 -0.33526 -0.361685 0.479106 0.0100562
7.25 0.0102376 0.0102975 -0.329705 -0.35862 0.483156 0.0149841
7.3 0.00979845 0.00986287 -0.324108 -0.355532 0.486652 0.0199058
7.35 0.0093771 0.00944611 -0.318472 -0.352423 0.489592 0.0248195
7.4 0.00897281 0.00904654 -0.312799 -0.349294 0.491975 0.0297231
7.45 0.00858487 0.00866348 -0.30709 -0.346147 0.4938 0.0346149
7.5 0.00821261 0.00829627 -0.301349 -0.342985 0.495069 0.0394932
7.55 0.00785541 0.00794426 -0.295577 -0.339808 0.495781 0.044356
7.6 0.00751262 0.00760686 -0.289776 -0.336618 0.495939 0.0492018
7.65 0.00718366 0.00728348 -0.283948 -0.333418 0.495543 0.0540289
7.7 0.00686796 0.00697354 -0.278094 -0.330207 0.494597 0.0588358
7.75 0.00656495 0.00667651 -0.272216 -0.326989 0.493104 0.0636207
7.8 0.00627411 0.00639187 -0.266316 -0.323764 0.491067 0.0683823
7.85 0.00599493 0.00611911 -0.260396 -0.320534 0.488491 0.073119
7.9 0.0057269 0.00585775 -0.254457 -0.317301 0.485381 0.0778295
7.95 0.00546956 0.00560733 -0.2485 -0.314064 0.481742 0.0825124
8 0.00522244 0.0053674 -0.242527 -0.310827 0.477579 0.0871663
8.05 0.00498511 0.00513754 -0.236539 -0.307589 0.472899 0.0917899
8.1 0.00475714 0.00491733 -0.230538 -0.304353 0.46771 0.096382
8.15 0.00453811 0.00470639 -0.224524 -0.301119 0.462018 0.100941
8.2 0.00432764 0.00450432 -0.218499 -0.297888 0.455832 0.105467
8.25 0.00412534 0.00431077 -0.212464 -0.294662 0.449159 0.109957
8.3 0.00393085 0.00412538 -0.20642 -0.291442 0.442009 0.114412
8.35 0.00374381 0.00394782 -0.200369 -0.288228 0.434391 0.118829
8.4 0.00356389 0.00377777 -0.19431 -0.285021 0.426313 0.123208
8.45 0.00339074 0.00361492 -0.188245 -0.281824 0.417788 0.127548
8.5 0.00322406 0.00345896 -0.182175 -0.278635 0.408824 0.131848
8.55 0.00306354 0.00330962 -0.176101 -0.275457 0.399432 0.136107
8.6 0.00290889 0.00316662 -0.170022 -0.27229 0.389625 0.140324
8.65 0.00275981 0.00302969 -0.163941 -0.269134 0.379413 0.144499
8.7 0.00261603 0.00289859 -0.157858 -0.265992 0.368808 0.14863
8.75 0.00247728 0.00277307 -0.151773 -0.262862 0.357823 0.152717
8.8 0.0023433 0.0026529 -0.145686 -0.259747 0.346469 0.15676
8.85 0.00221385 0.00253786 -0.139599 -0.256647 0.334761 0.160757
8.9 0.00208868 0.00242772 -0.133512 -0.253562 0.32271 0.164707
8.95 0.00196756 0.0023223 -0.127425 -0.250493 0.310331 0.168611
9 0.00185025 0.00222138 -0.121339 -0.24744 0.297636 0.172467
9.05 0.00173653 0.00212478 -0.115254 -0.244405 0.28464 0.176276
9.1 0.0016262 0.00203232 -0.10917 -0.241388 0.271356 0.180036
9.15 0.00151903 0.00194382 -0.103088 -0.238388 0.2578 0.183747
9.2 0.00141483 0.00185912 -0.0970077 -0.235408 0.243984 0.187409
9.25 0.0013134 0.00177807 -0.0909293 -0.232446 0.229925 0.191021
9.3 0.00121453 0.00170049 -0.084853 -0.229505 0.215636 0.194583
9.35 0.00111805 0.00162625 -0.0787789 -0.226583 0.201133 0.198095
9.4 0.00102376 0.00155521 -0.0727071 -0.223682 0.18643 0.201555
9.45 0.000931491 0.00148723 -0.0666376 -0.220801 0.171543 0.204964
9.5 0.000841052 0.00142218 -0.0605704 -0.217942 0.156486 0.208322
9.55 0.000752272 0.00135994 -0.0545055 -0.215104 0.141276 0.211628
9.6 0.000664978 0.00130039 -0.0484429 -0.212288 0.125927 0.214882
9.65 0.000578998 0.00124341 -0.0423823 -0.209495 0.110455 0.218083
9.7 0.000494166 0.0011889 -0.0363236 -0.206723 0.0948755 0.221233
9.75 0.000410313 0.00113675 -0.0302667 -0.203974 0.0792036 0.224329
9.8 0.000327275 0.00108685 -0.0242113 -0.201249 0.0634548 0.227373
9.85 0.000244887 0.00103912 -0.0181573 -0.198546 0.0476447 0.230364
9.9 0.000162987 0.000993459 -0.0121043 -0.195866 0.0317886 0.233303
9.95 8.14125e-05 0.00094978 -0.00605195 -0.19321 0.0159019 0.236188
