# z cos(z) linterp(z) linteg(z) qspline(z) qderiv(z) qinteg(z)
2.76000000 -0.92807271 -0.92788637 0.37232053 -0.92430238 0.00000000 0.42044601
2.78000000 -0.93533459 -0.93505436 0.35369113 -0.92430238 0.00000000 0.40195996
2.80000000 -0.94222234 -0.94222234 0.33491836 -0.94222234 0.00000000 0.38347392
2.82000000 -0.94873322 -0.94844830 0.31601165 -0.94222234 0.00000000 0.36462947
2.84000000 -0.95486462 -0.95467426 0.29698043 -0.94222234 0.00000000 0.34578502
2.86000000 -0.96061408 -0.96042142 0.27782708 -0.95778724 0.00000000 0.32678493
2.88000000 -0.96597931 -0.96568979 0.25856596 -0.95778724 0.00000000 0.30762918
2.90000000 -0.97095817 -0.97095817 0.23919948 -0.97095817 0.00000000 0.28847344
2.92000000 -0.97554865 -0.97525578 0.21973734 -0.97095817 0.00000000 0.26905427
2.94000000 -0.97974892 -0.97955340 0.20018925 -0.97095817 0.00000000 0.24963511
2.96000000 -0.98355731 -0.98336026 0.18055766 -0.98170220 0.00000000 0.23010851
2.98000000 -0.98697229 -0.98667638 0.16085730 -0.98170220 0.00000000 0.21047446
3.00000000 -0.98999250 -0.98999250 0.14109061 -0.98999250 0.00000000 0.19084042
3.02000000 -0.99261672 -0.99231883 0.12126749 -0.98999250 0.00000000 0.17104057
3.04000000 -0.99484390 -0.99464516 0.10139785 -0.98999250 0.00000000 0.15124072
3.06000000 -0.99667317 -0.99647369 0.08148418 -0.99580832 0.00000000 0.13138271
3.08000000 -0.99810377 -0.99780442 0.06154140 -0.99580832 0.00000000 0.11146654
3.10000000 -0.99913515 -0.99913515 0.04157200 -0.99913515 0.00000000 0.09155038
3.12000000 -0.99976689 -0.99946695 0.02158598 -0.99913515 0.00000000 0.07156768
3.14000000 -0.99999873 -0.99979876 0.00159332 -0.99913515 0.00000000 0.05158497
3.16000000 -0.99983059 -0.99963068 -0.01840347 -0.99996466 0.00000000 0.03159397
3.18000000 -0.99926253 -0.99896273 -0.03838941 -0.99996466 0.00000000 0.01159468
3.20000000 -0.99829478 -0.99829478 -0.05836198 -0.99829478 0.00000000 -0.00840461
3.22000000 -0.99692772 -0.99662874 -0.07831122 -0.99829478 0.00000000 -0.02837051
3.24000000 -0.99516190 -0.99496270 -0.09822713 -0.99829478 0.00000000 -0.04833640
3.26000000 -0.99299804 -0.99279969 -0.11810724 -0.99412968 0.00000000 -0.06826065
3.28000000 -0.99043698 -0.99013973 -0.13793663 -0.99412968 0.00000000 -0.08814324
3.30000000 -0.98747977 -0.98747977 -0.15771283 -0.98747977 0.00000000 -0.10802583
3.32000000 -0.98412758 -0.98383253 -0.17742595 -0.98747977 0.00000000 -0.12777543
3.34000000 -0.98038175 -0.98018530 -0.19706613 -0.98747977 0.00000000 -0.14752503
3.36000000 -0.97624378 -0.97604898 -0.21663092 -0.97836168 0.00000000 -0.16718344
3.38000000 -0.97171532 -0.97142359 -0.23610564 -0.97836168 0.00000000 -0.18675067
3.40000000 -0.96679819 -0.96679819 -0.25548786 -0.96679819 0.00000000 -0.20631791
3.42000000 -0.96149436 -0.96120620 -0.27476791 -0.96679819 0.00000000 -0.22565387
3.44000000 -0.95580594 -0.95561421 -0.29393611 -0.96679819 0.00000000 -0.24498983
3.46000000 -0.94973521 -0.94954591 -0.31299009 -0.95281821 0.00000000 -0.26418600
3.48000000 -0.94328460 -0.94300130 -0.33191556 -0.95281821 0.00000000 -0.28324236
3.50000000 -0.93645669 -0.93645669 -0.35071014 -0.93645669 0.00000000 -0.30229873
3.52000000 -0.92925421 -0.92897581 -0.36936447 -0.93645669 0.00000000 -0.32102786
3.54000000 -0.92168003 -0.92149494 -0.38786918 -0.93645669 0.00000000 -0.33975700
3.56000000 -0.91373720 -0.91355529 -0.40622197 -0.91775451 0.00000000 -0.35829911
3.58000000 -0.90542889 -0.90515685 -0.42440910 -0.91775451 0.00000000 -0.37665420
3.60000000 -0.89675842 -0.89675842 -0.44242825 -0.89675842 0.00000000 -0.39500929
3.62000000 -0.88772925 -0.88746341 -0.46027047 -0.89675842 0.00000000 -0.41294446
3.64000000 -0.87834501 -0.87816840 -0.47792678 -0.89675842 0.00000000 -0.43087962
3.66000000 -0.86860944 -0.86843672 -0.49539502 -0.87352090 0.00000000 -0.44858242
3.68000000 -0.85852643 -0.85826838 -0.51266207 -0.87352090 0.00000000 -0.46605284
3.70000000 -0.84810003 -0.84810003 -0.52972575 -0.84810003 0.00000000 -0.48352325
3.72000000 -0.83733440 -0.83708376 -0.54657759 -0.84810003 0.00000000 -0.50048525
3.74000000 -0.82623385 -0.82606749 -0.56320910 -0.84810003 0.00000000 -0.51744725
3.76000000 -0.81480281 -0.81464103 -0.57961824 -0.82055936 0.00000000 -0.53413385
3.78000000 -0.80304587 -0.80280437 -0.59579269 -0.82055936 0.00000000 -0.55054504
3.80000000 -0.79096771 -0.79096771 -0.61173042 -0.79096771 0.00000000 -0.56695622
3.82000000 -0.77857318 -0.77834025 -0.62742349 -0.79096771 0.00000000 -0.58277558
3.84000000 -0.76586723 -0.76571279 -0.64286403 -0.79096771 0.00000000 -0.59859493
3.86000000 -0.75285495 -0.75270571 -0.65805011 -0.75939906 0.00000000 -0.61409860
3.88000000 -0.73954153 -0.73931901 -0.67297036 -0.75939906 0.00000000 -0.62928658
3.90000000 -0.72593230 -0.72593230 -0.68762287 -0.72593230 0.00000000 -0.64447456
3.92000000 -0.71203272 -0.71181982 -0.70200039 -0.72593230 0.00000000 -0.65899321
3.94000000 -0.69784833 -0.69770734 -0.71609566 -0.72593230 0.00000000 -0.67351185
3.96000000 -0.68338480 -0.68324960 -0.72990696 -0.69065110 0.00000000 -0.68767769
3.98000000 -0.66864794 -0.66844661 -0.74342392 -0.69065110 0.00000000 -0.70149071
4.00000000 -0.65364362 -0.65364362 -0.75664482 -0.65364362 0.00000000 -0.71530373
4.02000000 -0.63837786 -0.63818712 -0.76956313 -0.65364362 0.00000000 -0.72837660
4.04000000 -0.62285675 -0.62273063 -0.78217231 -0.65364362 0.00000000 -0.74144948
4.06000000 -0.60708651 -0.60696669 -0.79447082 -0.61500238 0.00000000 -0.75413594
4.08000000 -0.59107344 -0.59089532 -0.80644944 -0.61500238 0.00000000 -0.76643598
4.10000000 -0.57482395 -0.57482395 -0.81810663 -0.57482395 0.00000000 -0.77873603
4.12000000 -0.55834453 -0.55817787 -0.82943665 -0.57482395 0.00000000 -0.79023251
4.14000000 -0.54164179 -0.54153179 -0.84043374 -0.57482395 0.00000000 -0.80172899
4.16000000 -0.52472240 -0.52461917 -0.85109659 -0.53320876 0.00000000 -0.81280932
